,PARA_A,PARA_B,TOTAL,Sector_score,numbers,LOSS_SCORE,Money_Value,History_score,District,Risk
126,3.21,72.07,75.28,3.41,5.0,2,13.79,4,6,1
127,12.28,20.62,32.9,3.41,5.0,2,10.16,4,2,1
128,6.93,70.26,77.19,3.41,5.0,2,9.73,2,2,1
129,3.34,37.59,40.93,3.41,5.0,2,26.95,2,2,1
130,15.66,74.53,90.19,3.41,5.0,2,29.07,2,2,1
131,2.92,5.24,8.16,3.41,5.0,2,9.76,2,2,1
132,0.83,28.06,28.89,3.41,5.0,2,13.31,2,2,1
133,1.97,30.25,32.22,3.41,5.0,2,0.68,2,2,1
134,10.0,47.9,57.9,3.41,5.0,2,7.7,2,2,1
135,13.06,45.42,58.48,3.41,5.0,2,10.4,2,2,1
136,1.35,33.25,34.6,3.41,5.5,2,20.62,2,2,1
137,4.13,16.74,20.87,3.41,5.0,2,44.02,2,2,1
138,12.62,80.06,92.68,3.41,5.5,2,43.53,2,4,1
139,16.36,41.1,57.46,3.41,5.0,2,12.03,2,4,1
140,12.68,41.0,53.68,3.41,5.5,2,11.88,2,2,1
141,11.73,85.87,97.6,3.41,5.0,2,6.96,4,2,1
142,5.15,44.67,49.82,3.41,5.5,2,21.07,2,2,1
143,6.61,55.62,62.23,3.41,5.0,4,57.16,2,2,1
144,8.03,94.43,102.46,3.41,5.5,2,10.65,6,2,1
145,1.21,34.03,35.24,3.41,5.0,2,5.36,2,2,1
146,1.64,46.21,47.85,3.41,5.0,2,2.45,2,2,1
147,1.21,43.84,45.05,3.41,5.5,2,31.61,2,2,1
148,1.1,87.71,88.81,3.41,5.5,2,34.32,2,2,1
149,4.17,24.37,28.54,3.41,5.0,2,4.24,2,2,1
150,1.08,32.71,33.79,3.41,5.0,2,8.38,2,2,1
151,12.29,25.74,38.03,3.41,5.0,4,22.1,2,2,1
152,12.54,31.62,44.16,3.41,5.0,2,54.07,2,2,1
153,17.26,44.22,61.48,3.41,5.0,2,27.68,4,2,1
154,1.15,20.1,21.25,3.41,6.0,2,21.45,2,2,1
155,20.04,48.9,68.94,3.41,5.0,2,11.09,2,2,1
156,12.17,47.0,59.17,3.41,6.0,2,10.14,2,2,1
157,10.37,105.56,115.93,3.41,9.0,2,52.13,2,2,1
158,9.67,62.25,71.92,3.41,5.5,2,17.02,2,2,1
159,3.77,40.86,44.63,3.41,5.0,2,18.0,2,2,1
160,4.73,60.22,64.95,3.41,5.0,2,69.76,2,2,1
161,6.31,19.42,25.73,3.41,5.5,2,13.88,2,2,1
162,5.61,1.56,7.17,3.41,5.0,2,4.03,2,2,1
163,5.22,20.94,26.16,3.41,5.0,2,2.44,2,2,1
164,0.31,58.12,58.43,3.41,5.0,4,78.98,2,2,1
165,2.86,17.09,19.95,3.41,5.5,2,6.88,2,2,1
166,16.53,72.99,89.52,3.41,5.0,2,5.49,4,2,1
167,2.7,45.16,47.86,3.41,5.0,2,37.79,2,2,1
168,3.08,60.78,63.86,3.41,5.0,2,0.36,2,2,1
169,2.0,49.19,51.19,3.41,5.0,2,60.88,4,2,1
170,1.18,0.0,1.18,3.41,5.5,4,183.2,2,2,1
171,1.07,0.0,1.07,3.41,5.0,2,10.02,2,2,1
172,1.07,0.0,1.07,3.41,5.0,2,0.0,2,6,1
173,1.01,0.0,1.01,3.41,5.0,2,0.0,2,2,1
174,0.93,0.0,0.93,3.41,5.0,2,0.0,2,2,0
175,4.01,0.0,4.01,3.41,5.0,2,0.0,2,2,1
176,0.77,0.0,0.77,3.41,5.0,2,0.32,2,2,0
177,1.05,0.0,1.05,3.41,5.0,2,0.0,2,2,1
178,1.01,0.0,1.01,3.41,5.0,2,0.28,2,2,1
179,0.91,0.0,0.91,3.41,5.0,2,0.0,2,2,0
180,1.12,0.0,1.12,3.41,5.0,2,0.0,2,2,1
181,0.8,0.0,0.8,3.41,5.0,2,0.18,2,2,0
182,0.65,0.0,0.65,3.41,5.0,2,0.0,2,2,0
183,0.63,0.0,0.63,3.41,5.0,2,0.0,2,2,0
184,0.43,0.0,0.43,3.41,5.0,2,0.0,2,2,0
185,1.21,0.0,1.21,3.41,5.0,2,0.0,2,2,1
186,0.17,0.0,0.17,3.41,5.0,2,0.0,2,2,0
187,0.0,0.0,0.0,3.41,5.0,2,0.0,2,4,1
188,0.0,0.0,0.0,3.41,5.0,2,0.0,2,2,0
189,0.07,0.0,0.07,3.41,5.0,2,0.0,2,2,0
190,5.11,53.76,58.87,2.72,6.0,2,48.56,6,2,1
191,2.46,6.72,9.18,2.72,5.0,2,0.0,2,2,1
192,4.05,21.66,25.71,2.72,5.5,2,18.45,2,2,1
193,2.81,4.6,7.41,2.72,5.0,2,8.44,2,2,1
194,4.43,61.47,65.9,2.72,5.5,2,39.65,2,2,1
195,3.48,17.85,21.33,2.72,5.0,2,9.53,2,2,1
196,3.62,44.28,47.9,2.72,5.0,2,44.67,2,2,1
197,4.34,24.13,28.47,2.72,5.0,2,3.42,2,2,1
198,3.62,8.37,11.99,2.72,5.0,2,0.0,2,2,1
199,3.11,113.97,117.08,2.72,5.5,2,26.64,2,2,1
200,1.65,20.86,22.51,2.72,5.0,2,16.91,2,2,1
201,3.43,1.53,4.96,2.72,5.0,2,0.0,2,2,1
202,3.84,98.67,102.51,2.72,5.0,2,12.9,2,2,1
203,7.42,115.87,123.29,2.72,6.0,2,6.79,4,2,1
204,7.07,35.48,42.55,2.72,5.0,2,8.76,2,2,1
205,3.26,5.55,8.81,2.72,5.0,2,0.21,2,6,1
206,3.84,144.39,148.23,2.72,5.0,4,19.68,4,2,1
207,5.5,93.26,98.76,2.72,5.0,2,14.27,2,2,1
208,1.9,35.04,36.94,2.72,6.5,2,16.19,2,2,1
209,3.5,16.09,19.59,2.72,5.0,2,5.03,2,2,1
210,1.46,0.75,2.21,2.72,5.0,2,0.11,2,2,1
211,4.6,54.99,59.59,2.72,5.0,2,14.1,2,2,1
212,7.43,79.5,86.93,2.72,5.0,2,102.39,2,2,1
213,3.51,52.89,56.4,2.72,5.0,2,4.26,2,2,1
214,5.65,67.16,72.81,2.72,6.0,2,27.23,2,2,1
215,1.33,0.35,1.68,2.72,5.0,2,0.0,2,2,1
216,5.45,71.09,76.54,2.72,5.5,2,59.18,2,2,1
217,1.73,5.64,7.37,2.72,5.0,2,13.35,2,2,1
218,6.02,135.69,141.71,2.72,6.0,2,89.64,2,4,1
219,3.22,55.64,58.86,2.72,5.0,4,80.8,2,2,1
220,2.41,5.28,7.69,2.72,5.0,2,8.95,2,4,1
221,2.84,64.91,67.75,2.72,5.5,2,124.59,2,4,1
222,1.75,0.57,2.32,2.72,5.0,2,0.0,2,4,1
223,2.18,30.81,32.99,2.72,5.0,2,5.8,2,4,1
224,3.26,2.81,6.07,2.72,6.0,2,21.6,2,4,1
225,4.43,51.32,55.75,2.72,5.5,2,145.97,2,2,1
226,5.61,99.33,104.94,2.72,6.5,2,76.47,2,2,1
227,3.9,27.92,31.82,2.72,5.0,2,47.6,2,2,1
228,2.19,0.68,2.87,2.72,5.0,2,28.4,2,2,1
229,1.56,14.64,16.2,2.72,5.0,2,25.97,2,2,1
230,4.53,87.93,92.46,2.72,5.0,2,85.81,2,2,1
231,4.97,42.19,47.16,2.72,5.5,2,45.37,2,2,1
232,2.13,0.59,2.72,2.72,5.0,2,0.76,2,2,1
233,3.66,15.47,19.13,2.72,5.0,2,1.43,2,2,1
234,1.64,0.19,1.83,2.72,5.0,2,1.59,2,2,1
235,4.9,98.71,103.61,2.72,5.5,2,82.99,4,2,1
236,5.68,67.38,73.06,2.72,5.0,2,86.7,4,2,1
237,3.99,92.05,96.04,2.72,5.0,2,15.14,4,2,1
238,3.47,47.07,50.54,2.72,5.0,2,31.38,2,2,1
239,2.68,38.32,41.0,2.72,5.0,2,7.17,2,2,1
240,2.13,42.64,44.77,2.72,5.0,2,18.24,2,2,1
241,4.28,1264.63,1268.91,2.72,5.5,2,58.86,6,6,1
242,4.36,33.91,38.27,2.72,5.5,4,6.06,2,6,1
243,2.23,4.54,6.77,2.72,5.0,2,22.8,2,6,1
244,2.0,0.32,2.32,2.72,5.0,2,5.37,2,2,1
245,3.04,67.37,70.41,2.72,6.5,2,77.47,2,2,1
246,1.19,122.07,123.26,2.72,5.0,2,15.2,2,2,1
247,1.35,0.0,1.35,2.72,6.0,2,680.14,2,2,1
248,1.14,0.0,1.14,2.72,5.0,2,0.71,2,2,1
249,1.51,0.0,1.51,2.72,5.0,2,0.0,2,2,1
250,1.13,0.0,1.13,2.72,5.0,2,0.0,2,2,1
251,1.5,0.0,1.5,2.72,5.0,2,1.44,2,2,1
252,0.96,0.0,0.96,2.72,5.0,2,0.0,2,2,0
253,1.6,0.0,1.6,2.72,5.0,2,0.0,2,2,1
254,1.34,0.0,1.34,2.72,5.0,2,0.0,2,4,1
255,1.6,0.0,1.6,2.72,5.0,2,0.06,2,2,1
256,1.13,0.0,1.13,2.72,5.0,2,0.02,2,2,1
257,0.0,0.0,0.0,2.72,5.0,2,0.0,2,2,0
258,0.0,0.0,0.0,2.72,5.0,2,0.0,2,2,0
259,0.77,0.0,0.77,2.72,5.0,2,4.6,2,2,0
260,1.05,0.0,1.05,2.72,5.0,2,0.0,2,2,1
261,0.0,0.0,0.0,2.72,5.0,2,0.0,2,2,0
262,0.0,0.0,0.0,2.72,5.0,2,30.85,2,2,1
263,0.0,0.0,0.0,2.72,5.0,2,0.0,2,4,1
264,0.0,0.0,0.0,2.72,5.0,2,0.0,2,2,0
265,0.0,0.0,0.0,2.72,5.0,2,0.0,2,2,0
266,0.84,0.0,0.84,2.72,5.0,2,8.21,2,2,1
267,0.0,0.0,0.0,2.72,5.0,2,0.0,2,2,0
268,0.85,0.0,0.85,2.72,5.0,2,0.0,2,2,0
269,0.0,0.28,0.28,2.72,5.0,2,0.0,2,2,0
270,0.61,0.07,0.68,2.72,5.0,2,0.0,2,2,0
271,0.0,0.62,0.62,2.72,5.0,2,0.0,2,2,0
272,3.43,1.0,4.43,2.37,5.5,4,49.31,4,2,1
273,1.63,5.86,7.49,2.37,5.0,2,3.69,2,2,1
274,3.75,1.25,5.0,2.37,6.0,2,11.25,2,6,1
275,2.29,2.64,4.93,2.37,5.0,2,3.08,2,2,1
276,2.51,8.59,11.1,2.37,5.5,2,16.03,6,2,1
277,2.21,5.21,7.42,2.37,5.0,2,3.43,2,2,1
278,2.22,6.23,8.45,2.37,5.0,2,0.89,2,2,1
279,1.67,0.39,2.06,2.37,5.0,2,1.43,2,2,1
280,2.59,0.66,3.25,2.37,5.0,2,1.28,2,2,1
281,2.39,7.72,10.11,2.37,5.0,2,5.42,4,2,1
282,3.42,10.55,13.97,2.37,5.0,2,6.96,2,2,1
283,3.61,2.13,5.74,2.37,5.0,4,5.41,6,2,1
284,1.86,4.51,6.37,2.37,5.0,2,7.27,2,2,1
285,1.9,7.97,9.87,2.37,5.0,2,8.6,4,2,1
286,3.29,6.41,9.7,2.37,5.0,2,3.66,2,2,1
287,2.6,1.14,3.74,2.37,5.0,2,8.76,4,2,1
288,3.81,11.52,15.33,2.37,5.0,2,3.25,2,4,1
289,2.1,5.06,7.16,2.37,5.0,2,5.41,2,2,1
290,2.22,3.4,5.62,2.37,5.0,2,26.28,4,2,1
291,0.96,0.12,1.08,2.37,5.0,2,0.22,2,2,0
292,0.81,4.6,5.41,2.37,5.0,2,1.82,2,2,1
293,1.25,0.02,1.27,2.37,5.0,2,0.82,2,2,1
294,1.65,0.02,1.67,2.37,5.0,2,27.99,2,2,1
295,1.65,0.02,1.67,2.37,5.0,2,2.47,2,2,1
296,2.13,0.11,2.24,2.37,5.0,2,7.54,2,2,1
297,0.44,0.02,0.46,2.37,5.0,2,27.1,2,6,1
298,1.31,0.12,1.43,2.37,5.5,2,0.0,2,6,1
299,0.39,0.14,0.53,2.37,5.0,2,0.58,2,2,0
300,1.0,1.1,2.1,2.37,5.0,2,0.0,2,2,1
301,0.42,0.27,0.69,2.37,5.0,2,0.0,2,2,0
302,1.07,0.59,1.66,2.37,5.0,2,0.0,2,2,1
303,1.29,0.25,1.54,2.37,5.0,2,0.0,2,2,1
304,0.02,0.87,0.89,2.37,5.0,2,0.04,2,2,0
305,1.46,0.55,2.01,2.37,5.0,2,0.67,2,2,1
306,0.84,0.06,0.9,2.37,5.0,2,0.72,2,2,0
307,0.66,1.37,2.03,2.37,5.0,2,0.84,2,4,1
308,0.53,5.4,5.93,2.37,5.0,2,0.72,2,2,1
309,0.39,0.47,0.86,2.37,5.0,2,0.0,2,2,0
310,0.51,0.47,0.98,2.37,5.0,2,0.0,2,2,0
311,0.47,0.29,0.76,2.37,5.0,2,0.07,2,2,0
312,3.35,0.99,4.34,2.37,5.0,2,0.12,2,2,1
313,0.32,0.49,0.81,2.37,5.0,2,6.73,2,6,1
314,0.51,0.0,0.51,2.37,5.0,2,0.0,2,6,1
315,0.0,0.0,0.0,2.37,5.0,2,0.05,2,2,0
316,0.31,0.69,1.0,2.37,5.0,2,0.0,2,2,0
317,0.61,1.54,2.15,2.37,5.0,2,0.57,2,2,1
318,0.26,0.17,0.43,2.37,5.0,2,0.0,2,2,0
319,0.73,0.05,0.78,2.37,5.0,2,6.14,2,6,1
320,0.0,0.0,0.0,2.37,5.0,2,0.0,2,6,1
321,1.27,1.01,2.28,2.37,5.0,2,1.15,2,2,1
322,1.62,0.49,2.11,2.37,5.0,2,0.0,2,2,1
323,1.54,0.46,2.0,2.37,5.0,2,0.57,2,2,1
324,2.18,0.93,3.11,2.37,5.0,2,0.0,2,6,1
325,7.59,1.47,9.06,2.37,5.5,2,36.29,2,6,1
326,0.76,0.34,1.1,2.37,5.0,2,0.0,2,6,1
327,0.38,0.85,1.23,2.37,5.0,2,0.04,2,2,0
328,1.29,0.13,1.42,2.37,5.0,2,0.0,2,2,1
329,1.99,0.63,2.62,2.37,5.0,2,0.0,2,2,1
330,0.0,0.0,0.0,2.37,5.0,2,0.0,2,2,0
331,0.02,0.05,0.07,2.37,5.0,2,0.0,2,2,0
332,0.14,0.08,0.22,2.37,5.0,2,0.0,2,2,0
333,0.09,0.0,0.09,2.37,5.0,2,0.0,2,2,0
334,0.0,0.0,0.0,2.37,5.0,2,0.0,2,2,0
335,0.0,0.0,0.0,2.37,5.0,2,0.0,2,2,0
336,0.01,0.006999999999999999,0.017,2.37,5.0,2,0.0,2,2,0
337,0.17,0.04,0.21,2.37,5.0,2,0.0,2,2,0
338,1.66,0.83,2.49,2.37,5.0,2,0.31,2,6,1
339,0.5,0.04,0.54,2.37,5.0,2,0.0,2,6,1
340,0.9,0.29,1.19,2.37,5.0,2,1.22,2,6,1
341,0.0,0.0,0.0,2.37,5.0,2,0.23,2,6,1
342,57.03,134.33,191.36,1.99,5.0,2,844.37,2,2,1
343,0.58,0.0,0.58,1.99,5.0,2,0.0,2,2,0
344,1.52,0.0,1.52,1.99,5.0,2,6.96,2,2,1
345,0.9,0.0,0.9,1.99,5.0,2,1.95,2,2,0
346,1.19,0.0,1.19,1.99,5.0,2,0.0,2,2,1
347,0.53,0.0,0.53,1.99,5.0,2,2.33,2,2,0
348,0.93,0.0,0.93,1.99,5.0,2,0.11,2,2,0
349,1.89,0.0,1.89,1.99,5.0,2,0.0,2,2,1
350,1.71,0.0,1.71,1.99,5.0,2,0.09,2,2,1
351,0.3,0.0,0.3,1.99,5.0,2,0.0,2,2,0
352,0.76,0.0,0.76,1.99,5.0,2,7.48,2,2,1
353,0.96,0.0,0.96,1.99,5.0,2,9.45,2,2,1
354,1.26,0.0,1.26,1.99,5.0,2,0.0,2,2,1
355,0.55,0.0,0.55,1.99,5.0,2,0.67,2,2,0
356,0.29,0.0,0.29,1.99,5.0,2,0.06,2,2,0
357,1.27,0.0,1.27,1.99,5.0,2,2.77,2,2,1
358,1.34,0.0,1.34,1.99,5.0,2,0.0,2,2,1
359,0.56,0.0,0.56,1.99,5.0,2,1.75,2,2,0
360,0.86,0.0,0.86,1.99,5.0,2,0.0,2,6,1
361,1.62,0.0,1.62,1.99,5.0,2,0.0,2,6,1
362,3.02,0.0,3.02,1.99,5.0,2,0.0,2,6,1
363,0.59,0.0,0.59,1.99,5.0,2,0.0,2,6,1
364,1.1,0.0,1.1,1.99,5.0,2,0.0,2,2,1
365,1.03,0.0,1.03,1.99,5.0,2,27.28,2,2,1
366,0.66,0.0,0.66,1.99,5.0,2,0.73,2,2,0
367,0.48,0.0,0.48,1.99,5.0,2,0.47,2,2,0
368,1.27,0.0,1.27,1.99,5.0,2,175.9,2,2,1
369,0.43,0.0,0.43,1.99,5.0,2,13.54,2,2,1
370,1.65,0.0,1.65,1.99,5.0,2,0.01,2,2,1
371,1.4,0.0,1.4,1.99,5.0,2,0.0,2,2,1
372,1.14,0.0,1.14,1.99,5.0,2,41.82,2,2,1
373,0.45,0.0,0.45,1.99,5.0,2,0.0,2,2,0
374,0.6,0.0,0.6,1.99,5.0,2,0.0,2,2,0
375,0.85,0.0,0.85,1.99,5.0,2,0.0,2,2,0
376,1.19,0.0,1.19,1.99,5.0,2,29.76,2,2,1
377,1.23,0.0,1.23,1.99,5.0,2,0.11,2,2,1
378,1.12,0.0,1.12,1.99,5.0,2,0.05,2,2,1
379,1.53,0.0,1.53,1.99,5.0,2,0.03,2,4,1
380,0.77,0.0,0.77,1.99,5.0,2,0.0,2,4,1
381,0.56,0.0,0.56,1.99,5.0,2,0.0,2,4,1
382,1.82,0.0,1.82,1.99,5.0,2,85.13,2,4,1
383,0.44,0.0,0.44,1.99,5.0,2,0.04,2,4,1
384,1.46,0.0,1.46,1.99,5.0,2,0.0,2,2,1
385,1.12,0.0,1.12,1.99,5.0,2,10.98,2,2,1
386,1.56,0.0,1.56,1.99,5.0,2,0.1,2,2,1
387,0.0,0.0,0.0,1.99,5.0,2,0.0,2,2,0
388,0.0,0.0,0.0,1.99,5.0,2,0.0,2,2,0
389,11.24,9.49,20.73,1.85,5.5,2,173.02,2,2,1
390,3.7,0.0,3.7,1.85,5.0,2,0.12,2,2,1
391,8.53,0.16,8.69,1.85,5.0,4,0.52,2,2,1
392,0.47,1.59,2.06,1.85,5.0,2,1.24,2,2,1
393,0.95,1.33,2.28,1.85,5.0,2,0.07,2,4,1
394,13.15,1.63,14.78,1.85,5.0,2,1.19,2,4,1
395,3.17,0.44,3.61,1.85,5.0,2,0.0,2,4,1
396,7.02,1.77,8.79,1.85,5.0,2,0.0,2,4,1
397,0.0,0.0,0.0,1.85,5.0,2,0.0,2,2,0
398,0.95,0.0,0.95,1.85,5.0,4,0.13,2,4,1
399,0.0,0.0,0.0,1.85,5.0,2,10.53,2,4,1
400,9.19,4.2,13.39,1.85,5.0,2,0.52,2,2,1
401,9.14,1.22,10.36,1.85,5.0,2,0.0,2,6,1
402,0.26,0.0,0.26,1.85,5.0,2,0.0,2,2,0
403,3.05,0.05,3.1,1.85,5.0,2,0.0,2,2,1
404,0.56,72.0,72.56,1.85,5.0,2,0.51,2,2,1
405,2.96,0.15,3.11,1.85,5.0,2,0.0,2,2,1
406,2.48,0.0,2.48,1.85,5.0,2,0.0,2,2,1
407,9.94,0.44,10.38,1.85,5.0,2,0.15,2,2,1
